country,equipment_type,destroyed,abandoned,captured,damaged,type_total,date_recorded
Russia,Aircraft,0,0,0,0,0,2022-02-23
Russia,Aircraft,13,0,0,0,13,2022-03-19
Russia,Aircraft,15,0,0,0,15,2022-03-26
Russia,Aircraft,15,0,0,0,15,2022-03-27
Russia,Aircraft,16,0,0,0,16,2022-03-28
Russia,Aircraft,16,0,0,1,17,2022-03-29
Russia,All Types,0,0,0,0,0,2022-02-23
Russia,All Types,769,224,587,30,1610,2022-03-19
Russia,All Types,959,232,698,35,1924,2022-03-26
Russia,All Types,959,232,698,35,1924,2022-03-27
Russia,All Types,967,232,714,35,1948,2022-03-27
Russia,All Types,976,232,725,36,1969,2022-03-27
Russia,All Types,979,232,726,37,1974,2022-03-27
Russia,All Types,984,232,728,37,1981,2022-03-27
Russia,All Types,985,232,732,37,1986,2022-03-27
Russia,All Types,1004,232,745,38,2019,2022-03-28
Russia,All Types,1041,235,771,38,2085,2022-03-29
Russia,Anti-Aircraft Guns,0,0,0,0,0,2022-02-23
Russia,Anti-Aircraft Guns,0,0,0,0,0,2022-03-19
Russia,Anti-Aircraft Guns,0,0,0,0,0,2022-03-26
Russia,Anti-Aircraft Guns,0,0,0,0,0,2022-03-27
Russia,Anti-Aircraft Guns,0,0,3,0,3,2022-03-29
Russia,Anti-Tank Guided Missiles,0,0,0,0,0,2022-02-23
Russia,Anti-Tank Guided Missiles,0,24,37,0,61,2022-03-19
Russia,Anti-Tank Guided Missiles,0,24,38,0,62,2022-03-26
Russia,Anti-Tank Guided Missiles,0,24,38,0,62,2022-03-27
Russia,Anti-Tank Guided Missiles,0,24,39,0,63,2022-03-27
Russia,Armoured Fighting Vehicles,0,0,0,0,0,2022-02-23
Russia,Armoured Fighting Vehicles,71,34,65,0,170,2022-03-19
Russia,Armoured Fighting Vehicles,102,34,82,0,218,2022-03-26
Russia,Armoured Fighting Vehicles,102,34,82,0,218,2022-03-27
Russia,Armoured Fighting Vehicles,102,34,85,0,221,2022-03-27
Russia,Armoured Fighting Vehicles,105,34,86,0,225,2022-03-27
Russia,Armoured Fighting Vehicles,108,34,86,0,228,2022-03-27
Russia,Armoured Fighting Vehicles,108,34,87,0,229,2022-03-27
Russia,Armoured Fighting Vehicles,109,34,89,0,232,2022-03-28
Russia,Armoured Fighting Vehicles,114,34,92,0,240,2022-03-29
Russia,Armoured Personnel Carriers,0,0,0,0,0,2022-02-23
Russia,Armoured Personnel Carriers,24,14,38,0,76,2022-03-19
Russia,Armoured Personnel Carriers,19,17,40,0,76,2022-03-26
Russia,Armoured Personnel Carriers,19,17,40,0,76,2022-03-27
Russia,Armoured Personnel Carriers,19,17,41,0,77,2022-03-27
Russia,Armoured Personnel Carriers,20,17,41,1,79,2022-03-28
Russia,Armoured Personnel Carriers,21,17,41,1,80,2022-03-29
Russia,Communications Stations,0,0,0,0,0,2022-02-23
Russia,Communications Stations,3,4,0,0,7,2022-03-19
Russia,Communications Stations,3,4,0,0,7,2022-03-26
Russia,Communications Stations,3,4,0,0,7,2022-03-27
Russia,Communications Stations,3,4,6,0,13,2022-03-29
Russia,Engineering Vehicles,0,0,0,0,0,2022-02-23
Russia,Engineering Vehicles,13,8,22,0,43,2022-03-19
Russia,Engineering Vehicles And Equipment,18,11,31,0,60,2022-03-26
Russia,Engineering Vehicles And Equipment,18,11,31,0,60,2022-03-27
Russia,Engineering Vehicles And Equipment,19,11,31,0,61,2022-03-28
Russia,Engineering Vehicles And Equipment,20,12,32,0,64,2022-03-29
Russia,Heavy Mortars,0,0,0,0,0,2022-02-23
Russia,Heavy Mortars,0,0,0,0,0,2022-03-19
Russia,Heavy Mortars,0,0,0,0,0,2022-03-26
Russia,Heavy Mortars,0,0,0,0,0,2022-03-27
Russia,Heavy Mortars,1,0,8,0,9,2022-03-29
Russia,Helicopters,0,0,0,0,0,2022-02-23
Russia,Helicopters,29,0,0,3,32,2022-03-19
Russia,Helicopters,30,0,0,3,33,2022-03-26
Russia,Helicopters,30,0,0,3,33,2022-03-27
Russia,Helicopters,31,0,0,3,34,2022-03-27
Russia,Helicopters,30,2,0,3,35,2022-03-29
Russia,Infantry Fighting Vehicles,0,0,0,0,0,2022-02-23
Russia,Infantry Fighting Vehicles,114,32,84,2,232,2022-03-19
Russia,Infantry Fighting Vehicles,157,29,103,2,291,2022-03-26
Russia,Infantry Fighting Vehicles,157,29,103,2,291,2022-03-27
Russia,Infantry Fighting Vehicles,161,29,104,2,296,2022-03-27
Russia,Infantry Fighting Vehicles,163,29,106,2,300,2022-03-27
Russia,Infantry Fighting Vehicles,163,29,107,2,301,2022-03-27
Russia,Infantry Fighting Vehicles,165,29,107,2,303,2022-03-27
Russia,Infantry Fighting Vehicles,168,29,108,2,307,2022-03-28
Russia,Infantry Fighting Vehicles,176,30,114,2,322,2022-03-29
Russia,Infantry Mobility Vehicles,0,0,0,0,0,2022-02-23
Russia,Infantry Mobility Vehicles,29,5,16,2,52,2022-03-19
Russia,Infantry Mobility Vehicles,36,5,20,2,63,2022-03-26
Russia,Infantry Mobility Vehicles,36,5,20,2,63,2022-03-27
Russia,Infantry Mobility Vehicles,37,5,20,2,64,2022-03-28
