country,equipment_type,destroyed,abandoned,captured,damaged,type_total,date_recorded,destroyed_diff,abandoned_diff,captured_diff,damaged_diff,type_total_diff
Russia,Aircraft,0,0,0,0,0,2022-02-23,0,0,0,0,0
Russia,Aircraft,13,0,0,0,13,2022-03-19,13,0,0,0,13
Russia,Aircraft,15,0,0,0,15,2022-03-26,2,0,0,0,2
Russia,Aircraft,15,0,0,0,15,2022-03-27,0,0,0,0,0
Russia,Aircraft,16,0,0,0,16,2022-03-28,1,0,0,0,1
Russia,Aircraft,16,0,0,1,17,2022-03-29,0,0,0,1,1
Russia,Aircraft,19,0,0,1,20,2022-04-04,3,0,0,0,3
Russia,Aircraft,20,0,0,1,21,2022-04-15,1,0,0,0,1
Russia,Aircraft,21,0,0,1,22,2022-04-18,1,0,0,0,1
Russia,Aircraft,23,0,0,1,24,2022-04-21,NA,NA,NA,NA,NA
Russia,Aircraft,25,0,0,1,26,2022-05-05,NA,NA,NA,NA,NA
Russia,Aircraft,26,0,0,1,27,2022-05-25,NA,NA,NA,NA,NA
Russia,Aircraft,27,0,0,1,28,2022-05-28,NA,NA,NA,NA,NA
Russia,Aircraft,28,0,0,1,29,2022-05-29,NA,NA,NA,NA,NA
Russia,Aircraft,29,0,0,0,29,2022-05-30,NA,NA,NA,NA,NA
Russia,Aircraft,30,0,0,0,30,2022-06-02,NA,NA,NA,NA,NA
Russia,Aircraft,30,0,0,1,31,2022-06-11,NA,NA,NA,NA,NA
Russia,Aircraft,34,0,0,1,35,2022-06-26,NA,NA,NA,NA,NA
Russia,Aircraft,35,0,0,1,36,2022-07-19,NA,NA,NA,NA,NA
Russia,Aircraft,37,0,0,1,38,2022-07-20,NA,NA,NA,NA,NA
Russia,Aircraft,48,0,0,2,50,2022-08-13,NA,NA,NA,NA,NA
Russia,Aircraft,49,0,0,2,51,2022-08-14,NA,NA,NA,NA,NA
Russia,Aircraft,50,0,0,2,52,2022-08-23,NA,NA,NA,NA,NA
Russia,Aircraft,51,0,0,2,53,2022-09-08,NA,NA,NA,NA,NA
Russia,Aircraft,54,0,0,2,56,2022-09-13,NA,NA,NA,NA,NA
Russia,Aircraft,56,0,0,2,58,2022-09-25,NA,NA,NA,NA,NA
Russia,Aircraft,57,0,0,2,59,2022-10-02,NA,NA,NA,NA,NA
Russia,Aircraft,58,0,0,2,60,2022-10-04,NA,NA,NA,NA,NA
Russia,Aircraft,59,0,0,2,61,2022-10-10,NA,NA,NA,NA,NA
Russia,Aircraft,60,0,0,2,62,2022-10-12,NA,NA,NA,NA,NA
Russia,Aircraft,61,0,0,2,63,2022-10-18,NA,NA,NA,NA,NA
Russia,Aircraft,63,0,0,3,66,2022-12-06,NA,NA,NA,NA,NA
Russia,Aircraft,63,0,0,4,67,2022-12-11,NA,NA,NA,NA,NA
Russia,Aircraft,64,0,0,4,68,2023-01-06,NA,NA,NA,NA,NA
Russia,Aircraft,64,0,0,5,69,2023-01-22,NA,NA,NA,NA,NA
Russia,Aircraft,65,0,0,6,71,2023-02-12,NA,NA,NA,NA,NA
Russia,Aircraft,65,0,0,7,72,2023-02-15,NA,NA,NA,NA,NA
Russia,Aircraft,66,0,0,7,73,2023-02-23,NA,NA,NA,NA,NA
Russia,Aircraft,67,0,0,7,74,2023-02-24,NA,NA,NA,NA,NA
Russia,Aircraft,68,0,0,7,75,2023-03-01,NA,NA,NA,NA,NA
Russia,Aircraft,69,0,0,7,76,2023-03-04,NA,NA,NA,NA,NA
Russia,Aircraft,70,0,0,7,77,2023-03-08,NA,NA,NA,NA,NA
Russia,Aircraft,71,0,0,8,79,2023-03-16,NA,NA,NA,NA,NA
Russia,Aircraft,70,0,0,8,78,2023-03-26,NA,NA,NA,NA,NA
Russia,Aircraft,72,0,0,8,80,2023-04-24,NA,NA,NA,NA,NA
Russia,Aircraft,74,0,0,8,82,2023-05-14,NA,NA,NA,NA,NA
Russia,Aircraft,75,0,0,8,83,2023-06-24,NA,NA,NA,NA,NA
Russia,Aircraft,76,0,0,8,84,2023-07-07,NA,NA,NA,NA,NA
Russia,Aircraft,77,0,0,8,85,2023-08-21,NA,NA,NA,NA,NA
Russia,Aircraft,79,0,0,7,86,2023-08-31,NA,NA,NA,NA,NA
Russia,Aircraft,81,0,0,7,88,2023-09-01,NA,NA,NA,NA,NA
Russia,Aircraft,81,0,0,8,89,2023-09-04,NA,NA,NA,NA,NA
Russia,Aircraft,82,0,0,8,90,2023-09-13,NA,NA,NA,NA,NA
Russia,Aircraft,83,0,0,8,91,2023-09-20,NA,NA,NA,NA,NA
Russia,Aircraft,84,0,0,8,92,2023-09-29,NA,NA,NA,NA,NA
Russia,Aircraft,85,0,0,8,93,2023-10-09,NA,NA,NA,NA,NA
Russia,Aircraft,86,0,0,8,94,2023-11-10,NA,NA,NA,NA,NA
Russia,Aircraft,87,0,0,8,95,2023-12-08,NA,NA,NA,NA,NA
Russia,Aircraft,91,0,0,8,99,2024-01-09,NA,NA,NA,NA,NA
Russia,Aircraft,92,0,0,9,101,2024-01-19,NA,NA,NA,NA,NA
Russia,Aircraft,93,0,0,8,101,2024-01-24,NA,NA,NA,NA,NA
