country,equipment_type,date_recorded,destroyed_diff,abandoned_diff,captured_diff,damaged_diff,type_total_diff
Russia,Aircraft,2022-02-23,0,0,0,0,0
Russia,Aircraft,2022-03-19,13,0,0,0,13
Russia,Aircraft,2022-03-26,2,0,0,0,2
Russia,All Types,2022-02-23,0,0,0,0,0
Russia,All Types,2022-03-19,769,224,587,30,1610
Russia,All Types,2022-03-26,190,5,110,5,310
Russia,Anti-Aircraft Guns,2022-02-23,0,0,0,0,0
Russia,Anti-Aircraft Guns,2022-03-19,0,0,0,0,0
Russia,Anti-Aircraft Guns,2022-03-26,0,0,0,0,0
Russia,Anti-Tank Guided Missiles,2022-02-23,0,0,0,0,0
Russia,Anti-Tank Guided Missiles,2022-03-19,0,24,37,0,61
Russia,Anti-Tank Guided Missiles,2022-03-26,0,0,1,0,1
Russia,Armoured Fighting Vehicles,2022-02-23,0,0,0,0,0
Russia,Armoured Fighting Vehicles,2022-03-19,71,34,65,0,170
Russia,Armoured Fighting Vehicles,2022-03-26,31,0,17,0,48
Russia,Armoured Personnel Carriers,2022-02-23,0,0,0,0,0
Russia,Armoured Personnel Carriers,2022-03-19,24,14,38,0,76
Russia,Armoured Personnel Carriers,2022-03-26,-5,3,2,0,0
Russia,Communications Stations,2022-02-23,0,0,0,0,0
Russia,Communications Stations,2022-03-19,3,4,0,0,7
Russia,Communications Stations,2022-03-26,0,0,0,0,0
Russia,Engineering Vehicles,2022-02-23,0,0,0,0,0
Russia,Engineering Vehicles,2022-03-19,13,8,22,0,43
Russia,Engineering Vehicles And Equipment,2022-03-26,0,0,0,0,0
Russia,Heavy Mortars,2022-02-23,0,0,0,0,0
Russia,Heavy Mortars,2022-03-19,0,0,0,0,0
Russia,Heavy Mortars,2022-03-26,0,0,0,0,0
Russia,Helicopters,2022-02-23,0,0,0,0,0
Russia,Helicopters,2022-03-19,29,0,0,3,32
Russia,Helicopters,2022-03-26,1,0,0,0,1
Russia,Infantry Fighting Vehicles,2022-02-23,0,0,0,0,0
Russia,Infantry Fighting Vehicles,2022-03-19,114,32,84,2,232
Russia,Infantry Fighting Vehicles,2022-03-26,43,-3,19,0,59
Russia,Infantry Mobility Vehicles,2022-02-23,0,0,0,0,0
Russia,Infantry Mobility Vehicles,2022-03-19,29,5,16,2,52
Russia,Infantry Mobility Vehicles,2022-03-26,7,0,4,0,11
Russia,Jammers And Deception Systems,2022-02-23,0,0,0,0,0
Russia,Jammers And Deception Systems,2022-03-19,1,0,0,2,3
