country,origin,system,status,url
NA,Soviet Union,T-64BV,damaged,https://i.postimg.cc/DfYzLMQ3/v60.png
NA,Soviet Union,T-72A,captured,https://i.postimg.cc/2ygSrvvG/6533.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/Fs5y8Zj7/43gd.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/pdJJKX3H/fss.jpg
NA,Soviet Union,T-72AV,captured,https://i.postimg.cc/Hk743jcQ/4311.jpg 
NA,Soviet Union,T-72B,captured,https://i.postimg.cc/tTk2850K/1d4.jpg
NA,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/pLZK95pC/6652.jpg
NA,Russia,T-72B3,captured,https://i.postimg.cc/j283Hqqn/3d1d.png
NA,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/zBdwP2J2/fs.jpg
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/QN5N4k84/431fp.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/RVcS60gy/gd3.png 
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/1XwLVN2J/1366.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/PJyDTMvz/3f.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/nVC3Hb5N/v90.png
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/P5zgmnd2/680.png
NA,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/T1X85D34/443fp.png
NA,Russia,T-72B3,captured,https://i.postimg.cc/q78RX85k/v43.png
NA,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/7LsDvrGm/b900.png
NA,Soviet Union,T-80BV,destroyed,https://i.postimg.cc/258nmcdH/443l.png
NA,Russia,T-80U,destroyed,https://i.postimg.cc/vZjNQXwg/3d16.png
NA,Russia,T-80UK,damaged,https://i.postimg.cc/5yfXPMZp/d47.png
NA,Russia,T-80BVM,damaged,https://i.postimg.cc/8zz8WcH7/763.png
NA,Russia,T-90A,abandoned,https://i.postimg.cc/1tvs3GFY/470.png
NA,Russia,Unknown tank,abandoned,https://i.postimg.cc/sfLpFS54/4566.png
NA,Soviet Union,BRM-1K,abandoned,https://i.postimg.cc/zv3Z8G8D/5570.png
NA,Soviet Union,BMP-1Khs,abandoned,https://i.postimg.cc/QCL5TQsB/d24.png
NA,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/KzgLWJ4m/341.png
NA,Soviet Union,MT-LB with ZU-23 AA gun,damaged,https://i.postimg.cc/Bv3rSysY/33213.png
NA,Soviet Union,MT-LBM 6MB,captured,https://i.postimg.cc/4xc1brgd/446.png
NA,Soviet Union,MT-LB Ambulance,captured,https://i.postimg.cc/26mGDmRD/m4.png
NA,Soviet Union,MT-LBu,captured,https://i.postimg.cc/TY3dqqM5/52.png
NA,Soviet Union,1V13 battery fire control center,captured,https://i.postimg.cc/PJknPwNV/1245.png
NA,Soviet Union,2S1 with ZU-23 AA gun,captured,https://i.postimg.cc/HxqJby2G/488.png
NA,Soviet Union,9P149 Shturm-S ATGM carrier,captured,https://i.postimg.cc/3Jk4mgVW/659.png
NA,Russia,R-149MA1 unified command and staff vehicle,captured,https://i.postimg.cc/13gv8gsQ/g5mm.jpg
NA,Russia,R-149MA3 command and staff vehicle,captured,https://i.postimg.cc/8PQKDG7t/ta2.png
NA,Soviet Union,1V119 artillery battalion fire direction vehicle,captured,https://i.postimg.cc/JhJ6G2t4/5422.png 
NA,Russia,TZM-T reloader vehicle (for TOS-1A),captured,https://i.postimg.cc/T3kpMkxx/52.jpg
NA,Soviet Union,Unknown BTR-D/BMD-2,captured,https://i.postimg.cc/h421Rsvr/4314.png
NA,Russia,Unknown AFV,captured,https://i.postimg.cc/tCwv2JJQ/354.png
NA,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/7hvdbLzy/5422.jpg
NA,Soviet Union,BMP-2,captured,https://i.postimg.cc/WzC3dgn1/d1d.jpg
NA,Soviet Union,BMP-2K,captured,https://i.postimg.cc/KYj8D0H8/r3.jpg
NA,Russia,BMP-3,captured,https://i.postimg.cc/XJyNTp3M/r4.jpg
NA,Soviet Union,BMD-2,captured,https://i.postimg.cc/2j7N340c/23f.jpg
NA,Russia,BMD-4M,captured,https://i.postimg.cc/Bv3rSysY/33213.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/VLBGh0Lz/3dd1.jpg
