origin,system,status,count
Czech Republic,BREM-Ch ''BREM-4'' armoured recovery vehicle,captured,2
Czech Republic,BREM-Ch ''BREM-4'' armoured recovery vehicle,destroyed,1
Israel,Forpost reconnaissance UAV,captured,1
Italy,Iveco LMV 'Rys',abandoned,1
Italy,Iveco LMV 'Rys',captured,3
Italy,Iveco LMV 'Rys',destroyed,1
Russia,120mm 2B11/2S12A,abandoned,1
Russia,120mm 2B11/2S12A,captured,1
Russia,122mm 2B17 Tornado-G,captured,2
Russia,220mm TOS-1A,captured,2
Russia,2K22M1 Tunguska,captured,2
Russia,9М131F Metis-M1,abandoned,1
Russia,9М131F Metis-M1,captured,1
Russia,9A310M1 TELAR (for Buk-M1-2),captured,2
Russia,9A310M2 TELAR (for Buk-M2),captured,1
Russia,9A331 TLAR (for 9K331 Tor-M1),captured,1
Russia,9A331M TLAR (for 9K332 Tor-M2),captured,1
Russia,9A39M1 TEL (for Buk-M1-2),captured,1
Russia,9A39M2 TEL (for Buk-M2),captured,1
Russia,9K333 Verba,abandoned,1
Russia,9K333 Verba,captured,1
Russia,9M113M Konkurs-M,abandoned,1
Russia,9M113M Konkurs-M,captured,1
Russia,9S18М1(-3) (for Buk-M3),captured,1
Russia,Barnaul-T 9С932-1 automated system for air defence units,captured,4
Russia,Barnaul-T 9С932-1 automated system for air defence units,destroyed,1
Russia,BMD-4M,abandoned,1
Russia,BMD-4M,captured,6
Russia,BMD-4M,destroyed,2
Russia,BMP-3,captured,7
Russia,BMP-3,damaged,1
Russia,BMP-3,destroyed,2
Russia,BREM-K armoured recovery vehicle,captured,3
Russia,BREM-K armoured recovery vehicle,destroyed,1
Russia,BTR-82A,abandoned,1
Russia,BTR-82A,captured,5
Russia,BTR-82A,damaged,1
Russia,BTR-82A,destroyed,1
Russia,BTR-MDM 'Rakushka',abandoned,2
Russia,BTR-MDM 'Rakushka',captured,4
Russia,BTR-MDM 'Rakushka',destroyed,1
Russia,E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems),captured,1
Russia,Eleron-3 reconnaissance UAV,captured,1
