country,system,status,count
Russia,120mm 2B11/2S12,abandoned,1
Russia,120mm 2B11/2S12,captured,1
Russia,120mm 2B11/2S12A,abandoned,1
Russia,120mm 2B11/2S12A,captured,1
Russia,120mm 2B16 Nona-K howitzer,abandoned,1
Russia,120mm 2B16 Nona-K howitzer,captured,1
Russia,120mm 2S9 Nona,captured,1
Russia,120mm 2S9 Nona,damaged,1
Russia,122mm 2B17 Tornado-G,captured,2
Russia,122mm 2S1 Gvozdika,captured,1
Russia,122mm 2S1 Gvozdika,damaged,1
Russia,122mm BM-21 'Grad',captured,2
Russia,122mm D-30 howitzer 2A18,abandoned,1
Russia,122mm D-30 howitzer 2A18,captured,1
Russia,152mm 2A65 Msta-B howitzer,abandoned,1
Russia,152mm 2A65 Msta-B howitzer,captured,1
Russia,152mm 2S19 Msta-S,captured,2
Russia,152mm 2S3 Akatsiya,captured,1
Russia,152mm 2S3 Akatsiya,damaged,1
Russia,1V119 artillery battalion fire direction vehicle,abandoned,1
Russia,1V119 artillery battalion fire direction vehicle,captured,6
Russia,1V119 artillery battalion fire direction vehicle,destroyed,3
Russia,1V13 battery fire control center,abandoned,1
Russia,1V13 battery fire control center,captured,6
Russia,1V13 battery fire control center,damaged,2
Russia,1V13 battery fire control center,destroyed,4
Russia,220mm BM-27 'Uragan',captured,2
Russia,220mm TOS-1A,captured,2
Russia,23mm ZU-23,captured,2
Russia,2K22M1 Tunguska,captured,2
Russia,2S1 with ZU-23 AA gun,abandoned,1
Russia,2S1 with ZU-23 AA gun,captured,8
Russia,2S1 with ZU-23 AA gun,destroyed,4
Russia,9М131F Metis-M1,abandoned,1
Russia,9М131F Metis-M1,captured,1
Russia,9A310M1 TELAR (for Buk-M1-2),captured,1
Russia,9A310M2 TELAR (for Buk-M2),captured,1
Russia,9A330 Tor TLAR (for 9K330 Tor-M),captured,1
Russia,9A331 TLAR (for 9K331 Tor-M1),captured,1
Russia,9A331M TLAR (for 9K332 Tor-M2),captured,1
Russia,9A39M1 TEL (for Buk-M1-2),captured,1
Russia,9A39M2 TEL (for Buk-M2),captured,1
Russia,9K33 Osa,captured,2
Russia,9K333 Verba,abandoned,1
Russia,9K333 Verba,captured,1
Russia,9K35 Strela-10,captured,1
Russia,9K38 Igla,abandoned,1
Russia,9K38 Igla,captured,1
Russia,9M111 Fagot,abandoned,1
Russia,9M111 Fagot,captured,1
Russia,9M113 Konkurs,abandoned,1
Russia,9M113 Konkurs,captured,1
Russia,9M113M Konkurs-M,abandoned,1
Russia,9M113M Konkurs-M,captured,1
Russia,9M114 Kokon,abandoned,1
Russia,9M114 Kokon,captured,1
Russia,9P149 Shturm-S ATGM carrier,abandoned,2
Russia,9P149 Shturm-S ATGM carrier,captured,7
Russia,9P149 Shturm-S ATGM carrier,destroyed,3
Russia,9S18М1(-3) (for Buk-M3),captured,1
Russia,9T217 transloader (for 9K33 Osa),captured,1
Russia,9T452 transporter-loader (for BM-27 'Uragan' MRL),captured,1
Russia,An-26 transport aircraft,captured,1
Russia,Barnaul-T 9С932-1 automated system for air defence units,captured,4
Russia,Barnaul-T 9С932-1 automated system for air defence units,destroyed,1
Russia,BAT-2 heavy engineering vehicle,captured,3
Russia,BAT-2 heavy engineering vehicle,destroyed,1
Russia,BMD-2,abandoned,1
Russia,BMD-2,captured,5
Russia,BMD-2,destroyed,2
Russia,BMD-4M,abandoned,1
Russia,BMD-4M,captured,4
Russia,BMD-4M,damaged,1
Russia,BMD-4M,destroyed,1
Russia,BMP-1(P),captured,6
