country,origin,system,status,matID,url
Russia,Soviet Union,T-64BV,damaged,75,https://i.postimg.cc/DfYzLMQ3/v60.png
Russia,Soviet Union,T-72B,damaged,737,https://i.postimg.cc/HLqxBrSK/4fa.png
Russia,Soviet Union,T-72B,damaged,738,https://i.postimg.cc/8zz8WcH7/763.png
Russia,Soviet Union,T-72B,damaged,744,https://i.postimg.cc/Bv3rSysY/33213.png
Russia,Russia,T-72B Obr. 1989,damaged,770,https://i.postimg.cc/Sx58mgzj/480.png
Russia,Russia,T-72B Obr. 1989,damaged,774,https://i.postimg.cc/9XgKbxBF/8.jpg
Russia,Russia,T-72B3,damaged,791,https://i.postimg.cc/zfTsVnsF/579.png 
Russia,Russia,T-72B3,damaged,796,https://i.postimg.cc/X7MPs1gM/180.png
Russia,Russia,T-72B3 Obr. 2016,damaged,7146,https://i.postimg.cc/9Mhg9B0b/4g2.png
Russia,Russia,T-72B3 Obr. 2016,damaged,7147,https://i.postimg.cc/yNv6K4zM/468.png
Russia,Russia,T-80U,damaged,7206,https://i.postimg.cc/Pf2gzrfP/f5.png
Russia,Russia,T-80U,damaged,7207,https://i.postimg.cc/fbf34Qs1/331f.jpg
Russia,Russia,Unknown tank,damaged,7288,https://i.postimg.cc/44SFGsk4/4373.png
Russia,Russia,Unknown tank,damaged,7289,https://i.postimg.cc/gj3F2623/541.png
Russia,Russia,R-149MA1 command and staff vehicle,damaged,7438,https://i.postimg.cc/jSgsKMn3/g553.jpg
Russia,Russia,R-149MA3 command and staff vehicle,damaged,7452,https://i.postimg.cc/q7W198PZ/f431.png
Russia,Russia,R-149MA3 command and staff vehicle,damaged,7453,https://i.postimg.cc/65LWg9tK/554.jpg
Russia,Soviet Union,BMP-1(P),damaged,7511,https://postimg.cc/DJp7JbvH
Russia,Soviet Union,BMP-2,damaged,7584,https://i.postimg.cc/vBy9TRg0/77699.png
Russia,Soviet Union,BMP-2,damaged,7585,https://i.postimg.cc/XYyYKfsy/Screenshot-8236.png
Russia,Soviet Union,BMP-2,damaged,7586,https://i.postimg.cc/2jX5hmCS/u1.jpg
Russia,Soviet Union,BMP-2,damaged,7596,https://i.postimg.cc/rF84w7J1/fsl.png
Russia,Soviet Union,BMP-2,damaged,7597,https://i.postimg.cc/RhxT6Pz9/663.png
Russia,Soviet Union,BMP-2,damaged,7598,https://i.postimg.cc/y80rBVY6/469.png
Russia,Soviet Union,BMP-2,damaged,7599,https://i.postimg.cc/4nCw32NC/43133.png
Russia,Russia,BMP-3,damaged,7647,https://i.postimg.cc/HxnCghHt/446.jpg
Russia,Soviet Union,BMD-2,damaged,7684,https://i.postimg.cc/hvdB25Hw/j2.jpg
Russia,Soviet Union,BMD-2,damaged,7691,https://i.postimg.cc/MTmVp6Hz/c5.png
Russia,Russia,BTR-82A,damaged,7759,https://i.postimg.cc/RZQbNvvr/54.jpg
Russia,Russia,BTR-82A,damaged,7767,https://i.postimg.cc/j5kxgNCW/g66.jpg
Russia,Russia,BTR-82A,damaged,7768,https://i.postimg.cc/BbS69p4N/66588.png
Russia,Soviet Union,BTR-80,damaged,7800,https://i.postimg.cc/HsQGV9qw/nm.jpg
Russia,Russia,GAZ Tigr-M,damaged,7894,https://i.postimg.cc/ZKDrDbck/85.png
Russia,Russia,GAZ Tigr-M,damaged,7895,https://i.postimg.cc/vZRf920n/t1.jpg
Russia,Russia,GAZ Tigr-M,damaged,7896,https://i.postimg.cc/qv8nGcF5/t2.jpg
Russia,Russia,GAZ Tigr-M,damaged,7897,https://i.postimg.cc/25GZskrd/t3.jpg
Russia,Italy,Iveco LMV 'Rys',damaged,7928,https://i.postimg.cc/4xrt6Lwt/542.png
