country,origin,system,status,url
Russia,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/B63LSk6q/431v.png
Russia,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/vTVpDRV2/4fhh.png
Russia,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/nLkXCgJk/5gk.png
Russia,Soviet Union,T-64BV,damaged,https://i.postimg.cc/DfYzLMQ3/v60.png
Russia,Soviet Union,T-64BV,captured,https://i.postimg.cc/rydk48wh/n0.png
Russia,Soviet Union,T-64BV,captured,https://i.postimg.cc/VL4dSdk8/32133.png
Russia,Soviet Union,T-72A,destroyed,https://i.postimg.cc/Prr1LXqZ/58.png
Russia,Soviet Union,T-72A,destroyed,https://i.postimg.cc/mrQPXJDB/e1.png
Russia,Soviet Union,T-72A,captured,https://i.postimg.cc/Hk743jcQ/4311.jpg 
Russia,Soviet Union,T-72A,captured,https://i.postimg.cc/tTk2850K/1d4.jpg
Russia,Soviet Union,T-72A,captured,https://i.postimg.cc/pLZK95pC/6652.jpg
Russia,Soviet Union,T-72A,captured,https://i.postimg.cc/j283Hqqn/3d1d.png
Russia,Soviet Union,T-72A,captured,https://i.postimg.cc/8zcL9Jbz/40.png
Russia,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/ry1y9kKp/588.png
Russia,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/Dz9N71pg/f5j.png
Russia,Soviet Union,T-72AV,captured,https://i.postimg.cc/Y0ZfvWm2/d67.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/1XwLVN2J/1366.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/PJyDTMvz/3f.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/nVC3Hb5N/v90.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/1z0hr1Ck/5gg.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/T1X85D34/443fp.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/q78RX85k/v43.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/7LsDvrGm/b900.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/258nmcdH/443l.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/zDKNSv0P/4431.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/1z9rmbky/6r.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/13Sh2Bf1/581.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/MZBT5zpG/380.png
Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/4y1bhVKK/3588.png
Russia,Soviet Union,T-72B,damaged,https://i.postimg.cc/HLqxBrSK/4fa.png
Russia,Soviet Union,T-72B,damaged,https://i.postimg.cc/8zz8WcH7/763.png
Russia,Soviet Union,T-72B,abandoned,https://i.postimg.cc/1tvs3GFY/470.png
Russia,Soviet Union,T-72B,abandoned,https://i.postimg.cc/sfLpFS54/4566.png
Russia,Soviet Union,T-72B,abandoned,https://i.postimg.cc/zv3Z8G8D/5570.png
Russia,Soviet Union,T-72B,abandoned,https://i.postimg.cc/QCL5TQsB/d24.png
Russia,Soviet Union,T-72B,abandoned,https://i.postimg.cc/KzgLWJ4m/341.png
Russia,Soviet Union,T-72B,damaged,https://i.postimg.cc/Bv3rSysY/33213.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/4xc1brgd/446.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/26mGDmRD/m4.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/TY3dqqM5/52.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/PJknPwNV/1245.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/HxqJby2G/488.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/3Jk4mgVW/659.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/13gv8gsQ/g5mm.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/8PQKDG7t/ta2.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/JhJ6G2t4/5422.png 
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/T3kpMkxx/52.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/y8Cgm71v/366.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/7hvdbLzy/5422.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/WzC3dgn1/d1d.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/KYj8D0H8/r3.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/rmsL0R73/4f1.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/2j7N340c/23f.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/Bv3rSysY/33213.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/Kcs8NxNt/5h.png
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/BQx2ch5r/c5.jpg
Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/PfvWNfCr/c6.jpg
Russia,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/VLBGh0Lz/3dd1.jpg
Russia,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/RhMrhxYT/90.png
Russia,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/qvxQ3f3b/f48.png
Russia,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/kMbfTBHz/983.png
Russia,Russia,T-72B Obr. 1989,damaged,https://i.postimg.cc/Sx58mgzj/480.png
Russia,Russia,T-72B Obr. 1989,abandoned,https://i.postimg.cc/rsFyfrR7/h8.png
Russia,Russia,T-72B Obr. 1989,abandoned,https://i.postimg.cc/6qVQKzjC/4t.png
Russia,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/NM8vPWBX/669.png
Russia,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/ncVTvBjk/d8.png
Russia,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/QdD8JTw6/78.png
Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/Xqy5KYn3/55u.png
Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/9MgnjkFX/6hh.png
Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/y6wWVgL9/4432.png
Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/Bn1tj0QC/4368.png
Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/htc1rXFj/d31.png
Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/XvVJCqzR/47.png
Russia,Russia,T-72B3,damaged,https://i.postimg.cc/zfTsVnsF/579.png 
Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/fLmkGMYm/5g6.png
Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/4Nvz1J9Q/42.png
Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/9Q0cgWhd/3dh0.png
Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/sDXVZcxD/d31.png
Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/C5JhNWxL/d31.jpg
Russia,Russia,T-72B3,captured,https://i.postimg.cc/FzSnwdhF/j77.png
Russia,Russia,T-72B3,captured,https://postimg.cc/BthpbCF0
Russia,Russia,T-72B3,captured,https://i.postimg.cc/FzMQsXTM/568.png
Russia,Russia,T-72B3,captured,https://i.postimg.cc/R0fgyXrv/4800.png
Russia,Russia,T-72B3,captured,https://i.postimg.cc/76GgXDkH/62f.png
Russia,Russia,T-72B3,captured,https://i.postimg.cc/W41KwNnF/890.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/hGdX1BWT/346.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/ZnNgPmr9/3322.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/xCm0kLJ2/3325.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/L6tGr73p/bb665.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/brSLcD3L/h65.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/zf1qWFGh/4f20.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/3RgpyvLd/556.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/j5CJ7pm9/4fgh.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/4dfJWDSG/hh3.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/cL1v8KKC/4fs.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/mkc5FvnH/6996.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/yYwQcbj8/99.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/pVh8rpDb/36h.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/mrvgXNrT/6655.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/jS8n67Hd/661.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/yx9rcK2s/g9.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/59FrZ5yT/g8.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/R0N4J5Np/546.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/fRbh1njW/547.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/rsyFds36/e1.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/FsBsR9xq/e3.jpg
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/KYxKwWxr/46.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/MKfjQR9R/44311.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/0jQYJGQX/3dh.png
Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/GpxG7gTS/57880.png
Russia,Russia,T-72B3 Obr. 2016,abandoned,https://i.postimg.cc/44PbCC3z/v44.png
Russia,Russia,T-72B3 Obr. 2016,abandoned,https://i.postimg.cc/c6ysfCQt/c9.png
